"" "GSM647591_W01_06Y4D_HG_U133_Plus2.CEL"	"GSM647592_W02_06Y4C_HG_U133_Plus2.CEL"	"GSM647593_W03_06Y4B_HG_U133_Plus2.CEL"	"GSM647594_W04_06Y4A_HG_U133_Plus2.CEL"	"GSM647595_W05_06Y49_HG_U133_Plus2.CEL"	"GSM647596_W06_06Y48_HG_U133_Plus2.CEL"	"GSM647597_W07_06Y47_HG_U133_Plus2.CEL"	"GSM647598_W08_06Y46_HG_U133_Plus2.CEL"	"GSM647599_W09_06Y45_HG_U133_Plus2.CEL"	"GSM647600_W10_06Y44_HG_U133_Plus2.CEL"	"GSM647601_W11_06Y43_HG_U133_Plus2.CEL"	"GSM647602_W12_06Y42_HG_U133_Plus2.CEL"	"GSM647603_W13_06Y41_HG_U133_Plus2.CEL"	"GSM647604_W14_06Y40_HG_U133_Plus2.CEL"	"GSM647605_W16_06Y3Y_HG_U133_Plus2.CEL"	"GSM647606_W17_06Y4J_HG_U133_Plus2.CEL"	"GSM647607_W19_06Y55_HG_U133_Plus2.CEL"	"GSM647608_W_JUL22_12_06XZ8_HG_U133_Plus_2.CEL"	"GSM647609_W_JUL22_1_06XZK_HG_U133_Plus_2.CEL"	"GSM647610_W_JUL22_2_06XZJ_HG_U133_Plus_2.CEL"	"GSM647611_W_JUL22_3_06XZH_HG_U133_Plus_2.CEL"	"GSM647612_W_JUL22_4_06XZG_HG_U133_Plus_2.CEL"	"GSM647613_W_JUL22_5_06XZF_HG_U133_Plus_2.CEL"	"GSM647614_W_JUL22_6_06XZE_HG_U133_Plus_2.CEL"	"GSM647615_W_JUL22_7_06XZD_HG_U133_Plus_2.CEL"	"GSM647616_W_JUL22_8_06XZC_HG_U133_Plus_2.CEL"	"GSM647617_W_JUL22_9_06XZB_HG_U133_Plus_2.CEL"	"GSM647618_W_JUL7_10_06XVW_HG_U133_Plus_2.CEL"	"GSM647619_W_JUL7_11_06XVV_HG_U133_Plus_2.CEL"	"GSM647620_W_JUL7_12_06XVU_HG_U133_Plus_2.CEL"	"GSM647621_W_JUL7_1_06XW5_HG_U133_Plus_2.CEL"	"GSM647622_W_JUL7_2_06XW4_HG_U133_Plus_2.CEL"	"GSM647623_W_JUL7_3_06XW3_HG_U133_Plus_2.CEL"	"GSM647624_W_JUL7_4_06XW2_HG_U133_Plus_2.CEL"	"GSM647625_W_JUL7_5_06XW1_HG_U133_Plus_2.CEL"	"GSM647626_W_JUL7_6_06XW0_HG_U133_Plus_2.CEL"	"GSM647627_W_JUL7_7_06XVZ_HG_U133_Plus_2.CEL"	"GSM647628_W_JUL7_8_06XVY_HG_U133_Plus_2.CEL"	"GSM647629_W_JUL7_9_06XVX_HG_U133_Plus_2.CEL"	"GSM647551_05_0025.CEL"	"GSM647552_05_0028.CEL"	"GSM647553_06_0008.CEL"	"GSM647554_06_0011.CEL"	"GSM647555_06_0012.CEL"	"GSM647556_06_0013.CEL"	"GSM647557_07_0007.CEL"	"GSM647558_10_0026.CEL"	"GSM647559_10_0038.CEL"	"GSM647560_11_0037.CEL"	"GSM647561_11_0057.CEL"	"GSM647562_11_0070.CEL"	"GSM647563_11_0075.CEL"	"GSM647564_11_0084.CEL"	"GSM647565_11_0086.CEL"	"GSM647566_11_0087.CEL"	"GSM647567_11_0090.CEL"	"GSM647568_11_0096.CEL"	"GSM647569_11_0109_A1.CEL"	"GSM647570_12_0001.CEL"	"GSM647571_13_0004.CEL"	"GSM647572_13_0005.CEL"	"GSM647573_13_0006.CEL"	"GSM647574_14_0004.CEL"	"GSM647575_14_0006.CEL"	"GSM647576_15_0021.CEL"	"GSM647577_15_0023.CEL"	"GSM647578_15_0025.CEL"	"GSM647579_17_0003.CEL"	"GSM647580_18_0004.CEL"	"GSM647581_19_0006.CEL"	"GSM647582_19_0007.CEL"	"GSM647583_19_0008.CEL"	"GSM647584_19_0009.CEL"	"GSM647585_20_0002.CEL"	"GSM647586_20_0006.CEL"	"GSM647587_20_0007.CEL"	"GSM647588_20_002.CEL"	"GSM647589_22_0010.CEL"	"GSM647590_22_0013.CEL"	"GSM647527_01_0087.CEL"	"GSM647528_01_0089.CEL"	"GSM647529_01_0092.CEL"	"GSM647530_01_0093.CEL"	"GSM647531_01_0095.CEL"	"GSM647532_01_0099.CEL"	"GSM647533_01_0109.CEL"	"GSM647534_01_0112.CEL"	"GSM647535_01_0114.CEL"	"GSM647536_01_0115.CEL"	"GSM647537_01_0116.CEL"	"GSM647538_01_0117.CEL"	"GSM647539_01_0129.CEL"	"GSM647540_01_0133.CEL"	"GSM647541_01_0134.CEL"	"GSM647542_01_0138.CEL"	"GSM647543_01_0142.CEL"	"GSM647544_01_0146.CEL"	"GSM647545_03_0003.CEL"	"GSM647546_04_0002.CEL"	"GSM647547_04_0006.CEL"	"GSM647548_05_0019.CEL"	"GSM647549_05_0020.CEL"	"GSM647550_05_0023.CEL"
"FAR2P2///FAR2P3"	4.9472	5.161	5.0262	4.4272	4.8689	5.3615	4.67	4.4166	5.0262	5.3755	4.9256	5.1897	5.622	4.6273	5.1049	4.8619	4.7379	5.3648	4.546	5.0309	4.8538	4.949	4.8619	5.1332	5.1803	5.3749	5.1787	5.3064	4.8292	4.8215	5.205	5.4235	5.2359	5.1495	5.4794	5.527	4.8949	5.1546	4.9074	4.7852	5.024	5.0007	4.8208	4.9553	5.1346	4.9073	5.1094	4.868	5.3362	4.6473	5.0456	4.8893	4.9807	4.9056	4.8775	4.8699	5.0497	5.5671	4.8749	5.465	4.7888	4.758	6.0588	4.839	5.0082	5.1852	5.5283	5.3516	5.6704	4.7504	5.2336	5.5928	4.7957	4.9569	4.6042	4.8174	4.9863	5.0913	5.0491	4.7569	4.7059	4.5164	4.6424	5.2615	4.4225	4.801	4.9916	4.9999	4.6999	5.1582	4.8058	5.0414	5.1428	5.1195	4.828	4.6078	4.7371	4.8418	5.1681	4.9434	5.0114	4.5003	4.779
"FAS-AS1"	3.8876	3.8225	4.0555	3.9858	3.8913	3.7769	3.8785	3.8376	3.8309	4.3474	3.7685	4.1732	4.0471	3.6795	3.9299	4.2862	3.7724	4.0297	4.0316	4.1716	3.8758	4.0096	4.0448	4.0356	4.3165	4.1396	4.3117	4.1305	3.8977	3.94	3.8808	3.8816	4.2168	3.5298	4.137	4.062	3.8797	3.9518	4.0018	4.254	4.396	4.2239	4.1557	4.071	4.191	4.272	4.3363	4.026	4.3147	4.1489	3.8383	3.8445	4.2375	4.2517	3.9747	4.121	3.805	4.2547	4.1136	4.158	3.8129	4.1466	4.2148	4.0545	4.2043	4.0739	4.2171	4.122	4.0315	4.1997	4.0625	4.7269	4.0696	4.1715	4.2595	4.1761	4.0542	3.7711	3.9604	4.0486	3.7996	4.0651	4.0438	4.0839	3.9564	4.0752	4.1766	4.2578	4.215	4.1187	4.0896	4.0839	4.3378	4.5327	3.8634	4.4218	4.1932	4.1669	4.3273	4.1524	4.3046	3.81	4.3145
"FBXL19-AS1"	5.7667	6.1386	5.9512	5.4774	5.7581	5.8266	5.731	5.7377	6.3416	6.6309	5.6828	6.5974	6.6181	6.0444	6.116	6.0883	6.0444	6.3504	5.7677	6.0444	5.995	6.0489	5.8639	5.9895	5.8971	6.293	6.4596	5.9361	5.744	6.0571	6.1552	5.896	6.0639	6.1099	6.6267	6.3975	6.0755	5.7209	5.9873	6.005	6.4497	6.0064	6.1489	6.0541	6.2452	5.6808	5.9211	5.8366	6.4967	5.4635	5.5652	5.6354	6.1434	5.6078	6.1291	5.8705	5.9775	6.4897	5.6371	6.4259	6.1172	5.5847	6.3826	5.894	6.0205	6.5153	6.3323	6.353	6.6212	5.3487	6.038	6.5057	5.7154	6.4539	5.8141	5.6033	5.9555	6.4399	6.0483	5.6499	5.3623	5.3977	5.2866	5.224	5.4884	5.864	6.4825	6.0166	5.6891	6.1076	5.9131	5.7881	6.3203	5.9731	6.0358	5.7845	5.794	5.6156	6.057	5.9932	5.7587	5.417	5.7869
"FENDRR"	5.4318	5.4123	5.5616	5.3355	5.1767	5.5877	5.2216	5.6091	5.8734	6.3988	5.6308	6.4253	6.1814	5.5832	5.5242	5.814	5.5124	6.138	5.6416	5.7202	5.7052	5.8254	5.4506	5.7789	5.9175	6.0861	6.0748	5.6322	5.7568	5.6566	5.607	5.8834	5.7915	5.6262	5.7777	6.3213	5.6621	5.7411	5.8132	5.7042	5.854	5.7288	5.6113	5.6338	5.6366	5.4837	5.4704	5.2628	5.8957	5.2348	5.0949	5.4358	5.8642	5.3442	5.4231	5.4227	5.5821	6.0895	5.2914	5.7257	5.749	5.1353	5.97	5.4102	5.6144	6.0245	5.9594	5.9166	6.2886	5.201	5.5729	6.1188	5.7323	5.6917	5.4026	5.4558	5.5254	5.8487	5.4278	5.3566	5.5286	5.2392	5.1715	5.1877	5.1801	5.5951	5.8379	5.7361	5.2758	5.8723	5.6607	5.3287	6.1688	5.7346	5.5006	5.4826	5.4365	5.3097	5.5172	5.426	5.3578	5.2455	5.5114
"FER1L6-AS1"	3.3252	3.2572	3.1195	3.2885	3.3737	3.3467	3.2537	3.1288	3.5779	4.1542	3.244	3.586	3.4272	3.1657	3.0426	3.1876	3.1034	3.2511	3.0075	3.2197	3.1848	3.2844	2.8621	3.2585	3.5756	3.4238	3.261	2.9165	3.2817	3.2314	3.17	3.4778	3.5174	2.9392	3.4146	3.4146	3.2997	3.256	3.3438	3.3871	3.2574	3.1997	3.0452	2.9064	3.0716	2.956	2.8696	3.0863	3.112	2.7085	2.7993	3.0764	3.2457	2.8792	3.0318	2.9736	3.0964	3.421	3.0952	3.28	3.0016	2.8399	3.3307	2.9825	3.156	3.2998	3.0417	3.5257	3.6693	2.7944	3.436	3.3195	3.2402	3.1689	3.1692	2.9276	3.1492	2.7183	3.1389	3.0133	3.2466	2.8179	3.0294	2.931	3.1519	3.0388	3.0845	3.4751	2.9462	2.917	3.3003	3.0231	3.3707	3.0262	3.212	3.077	2.736	3.0563	3.2773	3.095	2.9507	2.9313	3.0318
"FGD5-AS1"	7.5366	7.445	7.4003	7.5434	7.4371	7.8439	7.4026	7.7447	7.608	6.7964	7.9412	8.0072	7.6474	7.7291	7.6626	7.4883	7.9987	7.8112	7.6386	7.6024	7.7973	7.6709	7.7234	7.8234	8.1005	7.4911	7.6848	7.4132	7.2398	7.5929	7.7901	7.5477	7.7834	7.9568	7.4125	7.655	7.8169	7.9513	7.5191	6.7618	6.834	7.617	7.4069	7.7524	7.162	7.3242	7.832	7.7444	7.5059	7.4898	7.6499	8.0551	7.5568	8.0065	7.7553	7.0975	7.8911	6.8492	8.0067	7.8535	7.5537	7.8971	7.9268	7.5728	7.3927	7.7922	7.4093	7.3493	7.4239	7.7946	7.456	7.5256	7.3141	7.3431	7.5288	7.8095	7.9463	7.8045	7.726	7.687	7.7729	7.4035	7.5654	7.4676	7.5125	7.522	7.2795	7.5638	7.6388	7.343	7.7348	7.7823	7.3723	7.7845	7.4942	7.5591	7.5287	7.405	7.5525	7.6423	7.6503	7.3674	7.5598
"FGF10-AS1"	4.4644	4.697	4.7142	4.697	4.9641	4.6987	4.5823	4.6138	4.7172	4.9001	4.684	5.058	4.8939	4.6821	4.5507	4.9389	4.7468	4.6215	4.6314	4.345	4.4115	4.4105	4.355	4.6215	4.9564	4.599	4.7166	4.5249	4.7014	4.7492	4.5271	4.9231	4.8605	4.5409	5.2582	4.9898	4.6622	4.7519	4.644	3.9793	4.4254	4.3923	4.619	4.2039	4.8731	4.0468	4.3172	4.4216	4.6407	4.0685	4.2852	4.1552	4.5161	4.2652	4.3864	4.5226	4.3559	4.4578	4.4918	4.7468	4.4537	4.1686	4.4135	4.371	4.3169	4.3386	4.2652	4.8708	4.6229	4.2739	4.4884	4.5337	4.5028	4.3695	4.6374	4.1986	4.1816	4.4067	4.4265	4.0729	4.4788	4.2057	3.9318	4.0174	4.1696	4.2067	4.5109	4.1951	4.1619	4.4463	4.2181	4.0497	4.2483	4.5526	4.2186	4.3053	4.2323	4.2863	4.5711	4.5971	4.2458	3.689	3.9341
"FGF13-AS1"	5.3228	3.7535	3.6918	3.4613	3.8898	3.4693	3.5246	3.9497	3.8278	4.0877	3.373	3.6637	3.9484	3.1781	3.1277	3.9324	3.508	4.1418	4.6503	3.5922	4.0248	3.7534	3.6582	3.6449	4.0002	3.826	3.8209	3.9458	3.7121	3.6372	3.3866	3.6888	3.6141	3.4263	3.916	3.5555	5.8364	3.6907	3.7448	3.6652	4.1615	3.9031	4.0934	3.8296	3.7275	4.2023	5.1263	4.2733	4.5861	3.8161	3.9017	4.7902	4.1767	3.6222	3.962	3.9199	4.0438	4.4752	3.7189	4.5253	4.1075	3.7662	4.064	3.9555	4.2635	3.9612	3.959	4.4176	4.1939	3.6606	4.3716	4.0709	4.0536	4.2858	4.5309	3.8969	3.7158	4.3283	3.8984	3.7531	3.7962	3.4466	3.8149	3.9851	3.6678	3.727	3.7673	4.6231	3.5814	3.7345	3.7942	3.5819	3.7994	3.9493	4.6933	3.7815	3.6045	3.4145	3.7314	3.6694	3.6858	3.445	4.3658
"FGF14-AS2"	5.7753	5.987	5.9788	6.1919	5.779	5.9651	6.0721	5.8409	6.1426	6.0768	5.7781	6.0232	5.8447	6.3369	6.1918	6.2126	6.2243	6.017	6.0338	6.1722	6.0282	5.8945	6.1382	6.1387	5.4544	6.2415	6.475	5.8937	6.0479	6.0244	6.2893	6.3002	6.0287	6.4282	5.9498	6.1127	5.6591	5.9029	6.1165	5.9165	5.8559	5.6702	6.039	5.6903	5.8915	5.8992	5.696	5.6284	5.674	6.1221	5.7462	5.7963	5.9171	5.7816	5.8581	5.9468	5.9677	6.1754	5.7762	5.7456	5.843	6.1391	5.9159	6.091	5.8781	5.7941	5.5302	5.755	5.6264	5.8559	5.6841	6.1833	5.6554	5.8353	5.5346	5.6804	5.7698	5.3977	6.0785	5.5685	5.5061	6.0443	5.7982	5.7113	5.9111	5.9276	5.7759	5.5989	5.8006	6.0605	5.7122	5.9124	5.5359	5.5974	5.5207	5.8022	5.2808	5.4073	5.865	6.06	5.6088	5.3713	5.8344
"FGF14-IT1"	3.6576	3.6998	3.5587	3.4843	3.4957	3.6803	3.5483	3.6803	3.6256	4.1901	3.7721	4.0346	3.9017	3.3795	3.6934	3.7448	3.6403	3.7171	3.8057	3.6233	3.7055	3.4681	3.5154	3.5487	4.0487	3.9497	3.9191	3.8091	3.5531	3.5077	4.0012	4.224	3.5681	3.5183	3.8981	4.0217	3.6475	3.4884	3.7022	3.6724	3.7987	3.6022	3.4623	3.7808	3.3911	3.4024	3.7702	3.4224	4.0868	3.2683	3.3973	3.5226	3.4909	3.6944	3.5586	3.4535	3.5592	4.1859	3.5998	3.4754	3.5904	3.4771	4.2563	3.4817	3.3381	3.5392	3.6546	3.6628	4.0477	3.5533	3.5585	3.2865	3.4724	3.5977	3.8185	3.352	3.5204	3.7775	3.684	3.5782	3.959	3.2949	3.37	3.4035	3.4931	3.5504	3.4681	3.3891	3.4278	3.9451	3.3473	3.5325	4.3896	3.7414	3.5446	3.3288	3.2861	3.5556	3.8336	3.3909	3.7177	3.5135	3.529
"FIGF///PIR-FIGF"	3.6047	3.6964	3.8043	3.4362	3.7932	3.8173	3.8028	3.9002	3.9522	3.9173	3.6314	3.8939	4.0196	3.8506	3.9454	3.9845	3.8634	3.9261	3.6557	3.6978	3.7161	3.9826	3.5999	3.9113	4.1145	3.8292	3.8987	3.6752	3.5536	3.9042	3.6892	3.6142	4.1185	3.8292	4.1695	3.8843	3.9617	4.0312	3.8352	3.8906	3.9471	4.1273	3.824	4.0416	3.9235	3.843	4.0352	4.0382	4.0359	3.9471	3.9985	3.9456	4.0112	4.0122	3.8358	3.9653	3.9296	3.9992	3.9045	4.3751	4.1233	3.9928	4.0024	3.849	4.203	3.5951	4.2206	4.2876	4.4501	3.9048	4.4655	4.0285	3.7632	3.9183	4.0087	4.2105	3.9349	4.159	4.1801	3.2415	3.7034	3.7204	3.6694	3.2644	3.5735	3.3373	3.5124	3.6795	3.339	3.8304	3.5844	3.5625	3.9155	3.5706	3.5883	3.4155	3.7431	3.7988	3.6971	3.9232	3.3497	3.445	3.298
"FIRRE"	5.2327	5.5168	5.1936	5.2074	5.3425	4.7144	5.6004	5.3586	5.534	5.6523	5.3333	5.4958	5.4369	5.2089	5.0558	5.4706	5.2544	5.3017	5.3122	5.4849	5.1977	5.4319	5.207	5.3926	5.7588	5.3139	5.4121	5.4311	5.8448	5.3791	5.1074	5.8493	5.6561	5.4396	5.8813	5.2879	5.2746	5.3583	5.5173	5.6873	6.0638	5.1288	4.9928	5.4217	5.3728	5.6205	4.9525	5.2234	5.8465	5.3918	5.2902	5.1325	5.415	5.1827	5.3904	5.3384	5.3945	5.6785	5.2585	5.6021	5.59	5.2751	5.5708	5.2697	5.6493	5.6631	5.4406	5.879	5.744	5.2598	5.6347	5.6017	5.1557	5.608	5.3974	5.5589	5.2579	5.3135	5.4539	5.223	5.6266	5.3681	5.124	4.9859	5.3466	5.1789	5.503	5.616	5.3249	5.6488	5.3467	5.3147	5.5979	5.3656	5.7647	5.3995	5.3111	5.2783	6.0437	5.7377	5.5004	5.443	5.1187
"FKBP1A-SDCBP2///SDCBP2"	5.8703	5.9151	5.9229	6.0401	6.2126	5.6381	5.9544	6.4069	6.4813	6.4911	5.8578	6.5619	6.2544	5.884	5.7419	6.0667	5.7149	5.7573	6.4734	6.2226	6.0338	6.2327	5.9839	6.0541	6.4756	6.4106	6.167	5.5895	6.0029	5.9557	5.5244	6.017	5.9825	5.8311	5.7156	5.947	6.1931	5.6324	6.3394	6.414	6.6753	5.7586	6.224	6.0608	5.8413	5.8736	6.2645	6.0494	6.6799	6.0397	6.1773	6.0724	6.2246	5.7368	5.9455	6.0862	6.0884	6.1125	6.458	5.9963	6.1713	5.9221	6.3933	5.906	5.9603	6.2755	6.3597	6.8194	6.3954	6.3477	6.4626	6.7017	6.2898	6.5226	6.0813	5.8839	6.1937	5.5226	6.1326	5.8844	6.1212	5.8145	6.0815	5.9614	5.8592	5.9888	6.5267	6.2305	6.1309	6.2524	6.2351	6.1774	6.7615	6.3556	6.2559	6.1725	6.0521	6.0594	6.1647	6.0573	6.2062	6.2256	6.1022
"FKSG29"	3.9247	3.7332	4.0646	4.1172	4.1617	4.2805	3.887	3.8465	3.9104	4.6245	3.8931	4.0421	4.3989	3.9456	3.7719	4.1865	3.9128	4.0803	3.957	4.0174	3.9038	3.7053	3.8604	4.0836	4.1444	3.9646	4.2517	3.6518	4.0877	4.2234	3.6069	3.7938	3.9093	3.6579	4.1665	3.765	4.0539	4.196	3.6174	4.0989	4.0703	3.9778	4.1577	3.716	3.8808	3.6501	4.2729	4.1282	4.4991	4.3605	4.1355	4.0136	4.0711	3.774	4.0999	3.8816	3.9713	4.7041	4.1	4.6299	4.0594	3.9553	4.1282	3.9529	3.8702	4.1645	4.0648	4.2603	4.6397	3.9837	4.0641	3.8775	4.2443	4.1713	4.3754	4.0719	3.8604	3.2574	3.7868	3.6915	4.1164	3.5345	3.4245	3.8531	3.877	3.9607	3.4841	4.0435	3.6126	3.8065	4.064	3.8501	3.8284	3.9842	4.0438	4.139	3.8863	4.1539	3.9896	4.0525	3.5616	3.3148	3.7422
"FLG-AS1"	2.8597	2.8851	2.9768	2.7634	2.8365	2.9145	2.8016	2.8769	3.0617	3.0119	2.8041	3.0801	3.187	3.1007	2.8681	3.0532	2.9722	3.1904	3.1312	3.0043	3.0211	2.9698	2.8392	3.1076	3.2251	3.3108	3.2372	2.9056	2.8849	2.9306	2.977	3.2185	3.088	3.1072	3.0816	2.8927	3.0417	3.0326	3.0436	3.1516	2.9467	3.3762	2.9758	2.866	2.9634	2.7859	2.9705	2.7951	3.0519	2.7591	2.9408	2.9476	2.9424	2.7669	2.9888	2.7651	2.9996	3.1838	2.958	3.2669	3.3449	2.9259	2.9353	2.9403	2.9772	3.1289	3.0457	3.2886	3.1452	2.7893	2.9726	3.1501	2.8187	3.2267	2.8389	2.9736	2.8642	3.1915	2.951	2.7682	2.903	2.6922	2.609	2.664	2.8168	2.8193	2.9074	3.0738	2.7721	2.9294	2.8147	2.8773	2.9685	2.9293	2.8797	2.9092	2.7729	2.9472	3.1793	2.9751	2.8363	2.6697	2.9572
"FLJ10038"	7.225	7.5115	7.651	8.6401	7.7512	7.7078	8.4521	7.9125	7.5266	6.8168	7.6517	6.3661	6.235	8.1645	8.2216	8.2429	7.6826	5.7674	6.9537	7.3094	7.4163	7.6405	7.7463	7.0819	6.613	6.8613	6.3029	7.0404	7.5591	7.1991	7.4417	7.9882	7.3223	8.2602	7.4844	6.5902	7.204	7.6595	7.7164	6.7592	6.432	7.1423	7.0508	6.8763	6.9238	7.4521	7.335	7.0111	7.0215	7.4665	7.3638	7.8125	7.0493	7.5459	6.8755	7.5824	6.7109	6.5724	7.1878	5.3778	7.0024	7.3507	5.2221	7.6969	6.8142	6.1484	6.1926	6.556	6.2654	7.6481	6.8525	6.1989	7.0163	7.5145	7.04	7.1638	7.4292	5.6148	7.9123	6.7691	6.8615	7.4982	7.0815	6.7889	6.8416	7.4337	6.6851	6.4623	7.537	7.6322	6.7705	7.0666	6.1477	6.9835	6.2167	6.5856	6.8771	7.3545	6.4773	6.9022	6.4813	7.1937	6.8737
"FLJ11292"	4.846	4.9589	4.5966	4.1275	4.3188	4.4943	4.9061	5.2288	4.0956	4.1237	4.3696	3.9349	4.4721	4.1439	4.3622	4.2091	4.0573	3.8845	4.0721	4.2645	4.5161	4.2113	4.2759	4.2099	6.0689	3.8845	4.1187	4.2196	4.2605	4.392	4.2488	4.7605	4.6185	4.6662	5.3565	4.0483	4.414	4.3536	4.2348	4.1519	3.7349	4.3197	3.57	3.9571	3.9846	4.33	4.645	4.3342	4.5482	4.0199	3.832	4.4791	3.7804	3.9109	3.9508	3.9643	4.0651	3.7667	4.9434	4.5609	3.9638	4.4461	3.9687	3.6465	3.7685	3.7815	3.775	4.284	4.0803	4.1208	4.0544	4.0696	3.9306	3.6642	4.3205	4.3263	3.8698	4.0564	3.7482	3.9169	4.2896	3.9461	4.0515	3.8885	4.2946	3.6292	3.7765	4.4011	3.828	3.894	4.0177	4.0707	3.8885	3.9451	3.3922	3.7336	4.0199	4.724	4.2276	4.3149	3.9337	3.6632	3.7908
"FLJ12825"	4.0243	4.1955	4.0727	3.9231	4.4437	3.8369	4.0428	4.0739	4.3412	4.4013	4.4981	4.0935	4.1001	3.657	3.6019	4.0727	4.0486	4.2776	4.3299	3.9201	4.0941	4.0695	4.1144	3.9003	4.4716	3.8576	3.8294	4.0546	3.9746	4.192	4.0142	3.9189	4.0859	3.9969	4.2112	4.3187	4.0135	4.1133	4.377	4.1396	4.1528	3.9281	3.4906	3.9121	4.0912	3.9681	4.0722	3.9502	4.0468	3.776	4.3629	3.8994	4.3203	3.8402	4.0001	4.0386	3.8253	4.0875	4.0379	3.9349	3.6386	3.7791	3.6349	3.7257	3.975	4.039	4.2295	4.0895	3.693	4.0927	4.2267	3.9506	4.1536	3.867	4.3489	4.282	3.8833	3.8862	3.4546	3.9928	4.1959	3.5122	3.7017	3.6078	3.4393	4.0985	3.3209	3.7709	3.5122	3.4563	3.4953	3.8584	4.0155	3.791	3.6924	3.9697	3.5477	3.8143	3.6411	3.6546	3.5259	3.7003	3.8183
"FLJ13224"	3.4335	3.6561	3.7041	3.296	3.3839	3.3123	3.5374	3.6623	3.5694	4.219	3.541	3.9241	3.9218	3.41	3.4716	3.8323	3.6264	3.7027	3.9866	3.9405	3.6561	3.6952	3.6354	3.6561	4.7682	3.6831	3.7361	3.7553	3.5798	3.6016	3.6561	3.5662	3.5897	3.4065	3.3089	4.5362	3.5857	3.4599	3.8276	4.1095	3.6962	3.5151	3.2744	3.2946	3.4686	3.4668	3.0683	2.9967	3.4069	3.0866	3.229	3.1623	3.3059	3.0224	3.4305	3.1513	3.3258	3.2673	3.3288	3.5251	3.4027	3.3615	3.2746	3.7257	3.6511	3.6513	3.7184	3.6427	3.427	2.9523	3.2419	3.619	3.4625	3.6035	3.2919	3.3708	3.5483	4.2724	3.2506	3.4391	3.4273	3.1578	3.1472	3.3505	3.2504	3.547	3.7214	3.3169	3.4752	3.5594	3.2249	3.4528	4.3089	3.5932	3.259	3.458	3.2504	3.9662	3.9241	3.5309	3.9234	3.5518	3.9009
"FLJ16124///LOC101927533"	3.5189	3.4759	3.3876	3.5705	3.2905	3.5291	3.6012	3.7487	3.1487	3.8745	3.6794	3.6547	3.6278	3.625	3.1704	3.7182	3.4617	3.5561	3.6678	3.6227	3.507	3.427	3.3859	3.5393	3.8988	3.6284	3.586	3.6988	3.4409	3.9341	3.5102	3.9896	3.6236	3.5384	4.1336	3.8003	3.7289	3.7799	3.8024	3.4821	3.7665	3.7207	3.5636	3.8713	3.7643	3.6744	3.7569	3.572	3.8196	3.7152	3.4655	3.7772	3.7674	3.5913	3.5586	3.4083	3.5656	3.8122	3.4466	4.3659	3.8802	3.6999	4.1981	3.5385	3.7252	3.7157	3.7484	4.1805	3.9353	3.6199	3.6103	3.904	3.7157	3.8863	3.7881	3.6207	3.552	3.6606	3.5024	3.7048	3.5591	3.7178	3.2301	3.4234	3.3976	3.1881	3.8821	3.7655	3.2708	3.6565	3.4	3.3019	3.6445	3.6131	3.5627	3.2283	3.4395	3.6348	3.508	3.5107	3.5762	3.3759	3.3758
"FLJ16779"	4.0407	3.9615	4.4964	3.8563	3.8825	4.0662	3.8206	4.1574	4.4892	5.1046	4.2432	4.7118	4.462	4.3225	4.2721	4.1771	4.2342	4.693	4.1489	4.2437	4.0763	4.6616	4.3894	4.533	4.1658	4.8975	4.37	4.2038	3.9827	4.237	4.5808	4.2843	4.2859	4.1271	4.522	4.3232	4.2373	4.2363	4.2363	4.5087	4.7881	4.0888	3.9889	3.9488	4.181	3.7888	3.9781	3.845	4.1703	3.5677	3.5895	3.2974	4.001	4.05	4.3105	3.8863	4.1805	4.2606	4.0828	4.6547	3.8899	3.982	3.9267	3.8977	4.2812	3.9686	3.9202	4.4622	4.1724	3.8132	3.9267	4.2646	3.6617	3.953	3.8597	3.6823	3.9068	4.5269	3.9567	3.8304	3.6643	3.4293	3.5706	3.7901	3.6165	3.9802	4.0461	3.9156	3.9351	4.0855	3.682	3.8934	4.0691	3.8514	3.6131	3.9668	3.6165	3.474	3.7083	3.9756	3.7756	3.6848	3.9083
"FLJ20021"	7.1765	7.5073	7.407	7.0956	7.2663	7.3953	7.0888	7.4271	7.3015	7.8658	7.2417	7.6973	7.6697	7.4033	7.4583	7.4395	7.0694	7.6265	7.503	7.3824	7.2318	7.5897	7.1298	7.4271	7.4271	7.8219	7.5645	7.3423	7.492	7.5728	7.2923	7.4154	7.4271	6.9982	7.5963	7.494	7.4835	7.9448	7.4346	7.4573	7.6626	7.5576	7.6491	7.4442	7.7422	7.0555	7.2851	7.345	7.5533	7.0704	7.1175	7.4897	7.6692	7.3117	7.1266	7.3421	7.1484	7.6775	7.2222	7.8788	7.4639	6.722	7.6183	7.5315	7.0907	7.6006	7.4813	7.9116	8.0358	6.953	7.3918	7.9838	7.4718	7.4488	7.2626	6.8423	7.5583	7.8685	7.2754	6.8966	7.2896	7.3768	7.2063	7.0942	7.0748	7.2393	7.7909	7.6785	7.1233	7.6949	7.1532	7.0979	7.8593	7.3222	7.3318	7.474	7.4516	7.3436	7.484	7.3278	7.4204	6.8972	7.1081
